Job Title,Job ID,Department,Closing Date,Job URL
Payroll Clerk,15/88,Finance,20/07/2015,http://www.victoria.ca/contentmanager/cgi/jobs/15-88_Payroll_Clerk.pdf
Human Resources Advisor,15/89,Human Resources,23/07/2015,http://www.victoria.ca/contentmanager/cgi/jobs/15-89_HR_Advisor_COV.pdf
Festival and Event Coordinator,15/91,Parks and Recreation,24/07/2015,http://www.victoria.ca/contentmanager/cgi/jobs/15-91_Festival_and_Event_Coordinator_COV.pdf
